date,acquisition_key,burst_count,platforms,absolute_orbit,missing_bursts,burst_scene_names_json
2023-05-17,27|SENTINEL-1A|2023-05-17,4,SENTINEL-1A,48574,,"{""027_056011_IW2"": ""S1_056011_IW2_20230517T125540_VV_960C-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230517T125543_VV_960C-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230517T125546_VV_8F8E-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230517T125548_VV_8F8E-BURST""}"
2023-05-29,27|SENTINEL-1A|2023-05-29,4,SENTINEL-1A,48749,,"{""027_056011_IW2"": ""S1_056011_IW2_20230529T125541_VV_EC04-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230529T125544_VV_EC04-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230529T125546_VV_B769-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230529T125549_VV_B769-BURST""}"
2023-06-10,27|SENTINEL-1A|2023-06-10,4,SENTINEL-1A,48924,,"{""027_056011_IW2"": ""S1_056011_IW2_20230610T125541_VV_B4A6-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230610T125544_VV_B4A6-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230610T125547_VV_04C0-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230610T125549_VV_04C0-BURST""}"
2023-06-22,27|SENTINEL-1A|2023-06-22,4,SENTINEL-1A,49099,,"{""027_056011_IW2"": ""S1_056011_IW2_20230622T125542_VV_F4E7-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230622T125544_VV_F4E7-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230622T125547_VV_00B0-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230622T125550_VV_00B0-BURST""}"
2023-07-04,27|SENTINEL-1A|2023-07-04,4,SENTINEL-1A,49274,,"{""027_056011_IW2"": ""S1_056011_IW2_20230704T125543_VV_A464-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230704T125545_VV_A464-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230704T125548_VV_5E18-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230704T125551_VV_5E18-BURST""}"
2023-07-16,27|SENTINEL-1A|2023-07-16,4,SENTINEL-1A,49449,,"{""027_056011_IW2"": ""S1_056011_IW2_20230716T125544_VV_9FE5-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230716T125546_VV_9FE5-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230716T125549_VV_FE72-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230716T125552_VV_FE72-BURST""}"
2023-07-28,27|SENTINEL-1A|2023-07-28,4,SENTINEL-1A,49624,,"{""027_056011_IW2"": ""S1_056011_IW2_20230728T125544_VV_9C0B-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230728T125547_VV_9C0B-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230728T125550_VV_F7F5-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230728T125552_VV_F7F5-BURST""}"
2023-08-09,27|SENTINEL-1A|2023-08-09,4,SENTINEL-1A,49799,,"{""027_056011_IW2"": ""S1_056011_IW2_20230809T125544_VV_5670-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230809T125547_VV_5670-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230809T125550_VV_113B-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230809T125552_VV_113B-BURST""}"
2023-08-21,27|SENTINEL-1A|2023-08-21,4,SENTINEL-1A,49974,,"{""027_056011_IW2"": ""S1_056011_IW2_20230821T125545_VV_5E26-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230821T125548_VV_5E26-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230821T125551_VV_9598-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230821T125554_VV_9598-BURST""}"
2023-09-02,27|SENTINEL-1A|2023-09-02,4,SENTINEL-1A,50149,,"{""027_056011_IW2"": ""S1_056011_IW2_20230902T125546_VV_7981-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230902T125549_VV_7981-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230902T125552_VV_6DC2-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230902T125555_VV_6DC2-BURST""}"
