row0,col0,center_row,center_col,median_coherence,median_velocity_mm_per_yr,median_velocity_std_mm_per_yr,min_edge_distance_m,min_support
650,2500,675,2525,0.25904570519924164,13.762937393039465,1.6721946885809302,5040.0,1.0
650,2550,675,2575,0.3033214211463928,27.068709954619408,1.7858314095064998,3040.0,1.0
650,2600,675,2625,0.25245922803878784,27.836792171001434,1.7186175682581961,1040.0,1.0
650,2650,675,2675,0.27103906869888306,17.02048070728779,1.9038273603655398,0.0,1.0
700,650,725,675,0.31079326570034027,-39.82566297054291,5.943384952843189,400.0,1.0
700,850,725,875,0.3878217935562134,-40.04722647368908,5.698484601452947,737.5635565834309,1.0
700,900,725,925,0.47412219643592834,-40.61794653534889,5.297818453982472,440.0,1.0
700,950,725,975,0.453313946723938,-47.69369028508663,5.087204044684768,120.0,1.0
700,1150,725,1175,0.26480208337306976,-37.27993927896023,6.097177509218454,944.0338976964757,1.0
700,1250,725,1275,0.46321794390678406,-32.55657106637955,5.103620700538158,282.842712474619,1.0
700,1300,725,1325,0.40050850808620453,-41.09150916337967,4.953036783263087,40.0,1.0
700,1350,725,1375,0.3512093424797058,-52.533721551299095,4.974886309355497,240.0,1.0
700,1600,725,1625,0.2336546704173088,-41.78185388445854,4.529676167294383,240.0,1.0
700,1650,725,1675,0.2522936165332794,-31.800540164113045,4.539732588455081,1697.0562748477141,1.0
700,1700,725,1725,0.29673735797405243,-49.034444615244865,4.149730317294598,0.0,1.0
700,1750,725,1775,0.33487389981746674,-50.316378474235535,3.8359775207936764,320.0,1.0
700,1850,725,1875,0.37427400052547455,-31.277813017368317,2.9856375185772777,160.0,1.0
700,1900,725,1925,0.5023967027664185,-22.566014900803566,2.553960424847901,2141.4014102918677,1.0
700,1950,725,1975,0.3299626559019089,-25.90951882302761,2.6764284120872617,2491.58584038359,1.0
700,2000,725,2025,0.26904532313346863,-30.144819989800453,2.6661421870812774,2480.0,1.0
700,2050,725,2075,0.3526168018579483,-20.172327756881714,2.9289688682183623,3051.0326120839813,1.0
700,2100,725,2125,0.32589131593704224,-13.409275095909834,2.76598718483001,3566.2865841095836,1.0
700,2150,725,2175,0.30688148736953735,-8.801199495792389,2.472161315381527,1896.9449122207002,1.0
700,2200,725,2225,0.2575704753398895,-13.17884074524045,2.198380185291171,1400.0,1.0
700,2250,725,2275,0.32012343406677246,-2.115696668624878,1.9746973412111402,1592.9846201391902,1.0
700,2300,725,2325,0.30537401139736176,2.4902820587158203,1.913814281579107,3094.7697814215517,1.0
700,2350,725,2375,0.29036611318588257,7.761810440570116,1.9186201971024275,3440.0,1.0
700,2400,725,2425,0.3899281769990921,9.272672701627016,1.98820186778903,3498.5711369071805,1.0
700,2450,725,2475,0.25078244507312775,10.155543684959412,2.092977287247777,4204.759208325728,1.0
700,2500,725,2525,0.2354881688952446,8.349386975169182,1.8014195375144482,5220.268192344145,1.0
700,2550,725,2575,0.25058142840862274,14.515079092234373,1.7370395944453776,3330.345327439784,1.0
700,2600,725,2625,0.240644171833992,18.84821429848671,1.9518177141435444,1712.0747647226156,1.0
700,2650,725,2675,0.2501817047595978,15.2359614148736,2.2340690484270453,594.6427498927402,1.0
750,700,775,725,0.4671645760536194,-25.75964480638504,6.057445891201496,720.0,1.0
750,850,775,875,0.3354060798883438,-40.442975237965584,5.9669045731425285,560.0,1.0
750,1000,775,1025,0.4290897697210312,-44.872039929032326,5.3981447126716375,360.0,1.0
750,1100,775,1125,0.28978170454502106,-45.974498614668846,5.8312013279646635,215.40659228538016,1.0
750,1200,775,1225,0.4885110408067703,-9.28676687180996,6.137975491583347,480.0,1.0
750,1400,775,1425,0.39788393676280975,-52.433814853429794,5.021791439503431,40.0,1.0
750,1450,775,1475,0.3262590318918228,-51.209285855293274,5.44203189201653,0.0,1.0
750,1650,775,1675,0.2819749563932419,-43.893588706851006,4.7439406625926495,520.0,1.0
