station_key,state,site_name,latitude,longitude,well_type,n_seasons,dist_km_H001,dist_km_H004,dist_km_H002,dist_km_H003,min_dist_km_to_any,within_2km,within_5km,within_10km,within_20km
East        Preet Vihar    Gujarat Vihar       Gujarat Vihar|28.64222|77.29166,Delhi,East        Preet Vihar    Gujarat Vihar       Gujarat Vihar,28.64222,77.29166,Bore Well,1,24.555992340875047,26.05424152722621,28.67882218112377,27.254221409722156,24.555992340875047,False,False,False,False
Faridabad       Ballabgarh     Ballabhgarh        Ballabhgar|28.34583|77.32083,Haryana,Faridabad       Ballabgarh     Ballabhgarh        Ballabhgar,28.3458333,77.3208333,unspecified,1,30.476775113598027,33.287947480216374,57.50818957227095,56.000420695407634,30.476775113598027,False,False,False,False
Faridabad       Ballabgarh     Ballabhgarh       Ballabhgarh|28.34583|77.32083,Haryana,Faridabad       Ballabgarh     Ballabhgarh       Ballabhgarh,28.3458333,77.3208333,unspecified,1,30.476775113598027,33.287947480216374,57.50818957227095,56.000420695407634,30.476775113598027,False,False,False,False
Faridabad       Ballabgarh     Ballabhgarh    Ballabhgarh|28.34583|77.32083,Haryana,Faridabad       Ballabgarh     Ballabhgarh    Ballabhgarh,28.3458333,77.3208333,unspecified,1,30.476775113598027,33.287947480216374,57.50818957227095,56.000420695407634,30.476775113598027,False,False,False,False
Faridabad       Ballabgarh     Chandpur          Chandpur|28.32917|77.475,Haryana,Faridabad       Ballabgarh     Chandpur          Chandpur,28.3291667,77.475,Dug Well,1,44.02473688500275,46.890171160409295,66.76855085302668,65.26897052750232,44.02473688500275,False,False,False,False
Faridabad       Ballabgarh     Chandpur       Chandpur|28.32917|77.475,Haryana,Faridabad       Ballabgarh     Chandpur       Chandpur,28.3291667,77.475,Dug Well,1,44.02473688500275,46.890171160409295,66.76855085302668,65.26897052750232,44.02473688500275,False,False,False,False
Faridabad       Ballabgarh     Dayalpur          Dayalpur|28.30556|77.38611,Haryana,Faridabad       Ballabgarh     Dayalpur          Dayalpur,28.3055556,77.3861111,Dug Well,1,38.25758071130994,41.07669913257054,64.37085698728609,62.859332967281404,38.25758071130994,False,False,False,False
Faridabad       Ballabgarh     Dayalpur       Dayalpur|28.30556|77.38611,Haryana,Faridabad       Ballabgarh     Dayalpur       Dayalpur,28.3055556,77.3861111,Dug Well,1,38.25758071130994,41.07669913257054,64.37085698728609,62.859332967281404,38.25758071130994,False,False,False,False
Faridabad       Ballabgarh     Immamudipur    Immamudipur|28.28333|77.47083,Haryana,Faridabad       Ballabgarh     Immamudipur    Immamudipur,28.2833333,77.4708333,unspecified,1,46.38125277486855,49.228766158048074,70.73750777822023,69.23059106017227,46.38125277486855,False,False,False,False
Faridabad       Ballabgarh     Kabulpur           Kabulpur|28.39444|77.43889,Haryana,Faridabad       Ballabgarh     Kabulpur           Kabulpur,28.3944444,77.4388889,unspecified,1,37.692032180208265,40.54255721253611,58.83269301435058,57.3381385696536,37.692032180208265,False,False,False,False
Faridabad       Ballabgarh     Kabulpur          Kabulpur|28.39444|77.43889,Haryana,Faridabad       Ballabgarh     Kabulpur          Kabulpur,28.3944444,77.4388889,unspecified,1,37.692032180208265,40.54255721253611,58.83269301435058,57.3381385696536,37.692032180208265,False,False,False,False
Faridabad       Ballabgarh     Manjhawali        Manjhawali-|28.36944|77.4775,Haryana,Faridabad       Ballabgarh     Manjhawali        Manjhawali-,28.3694444,77.4775,Dug Well,1,42.25259410772328,45.10986227573249,63.34517795604943,61.85571637374213,42.25259410772328,False,False,False,False
Faridabad       Ballabgarh     Sakrana           Sakrana-DW|28.3|77.25833,Haryana,Faridabad       Ballabgarh     Sakrana           Sakrana-DW,28.3,77.2583333,Dug Well,1,30.079338636843357,32.662710150315945,60.064582935341654,58.58345390882918,30.079338636843357,False,False,False,False
Faridabad       Ballabgarh     Sanped            Sanped-DW|28.28611|77.34167,Haryana,Faridabad       Ballabgarh     Sanped            Sanped-DW,28.2861111,77.3416667,Dug Well,1,36.494744007147816,39.23482738458518,64.39923816149285,62.89318706326454,36.494744007147816,False,False,False,False
Faridabad       Ballabgarh     Shahjahanpur      Shahjahanpu|28.48333|77.30278,Haryana,Faridabad       Ballabgarh     Shahjahanpur      Shahjahanpu,28.4833333,77.3027778,Dug Well,1,22.04816032327906,24.802209206583864,43.15454573001788,41.644299179222294,22.04816032327906,False,False,False,False
Faridabad       Ballabgarh     Sikri              Sikri|28.27917|77.28333,Haryana,Faridabad       Ballabgarh     Sikri              Sikri,28.2791667,77.2833333,Dug Well,1,33.38884968404313,35.99348860331652,63.029667256605656,61.541065494143126,33.38884968404313,False,False,False,False
Faridabad       Ballabgarh     Sikri             Sikri|28.27917|77.28333,Haryana,Faridabad       Ballabgarh     Sikri             Sikri,28.2791667,77.2833333,Dug Well,1,33.38884968404313,35.99348860331652,63.029667256605656,61.541065494143126,33.38884968404313,False,False,False,False
Faridabad       Ballabgarh     Sotai             Sotai|28.29167|77.36111,Haryana,Faridabad       Ballabgarh     Sotai             Sotai,28.2916667,77.3611111,unspecified,1,37.42183688028768,40.19766595202491,64.63752817655009,63.12817968088475,37.42183688028768,False,False,False,False
Faridabad       Ballabgarh     Tigaon            Tigaon-Pz|28.34722|77.38972,Haryana,Faridabad       Ballabgarh     Tigaon            Tigaon-Pz,28.3472222,77.3897222,Bore Well,1,35.82932236535594,38.68655690569547,60.508171839883616,58.997390067337626,35.82932236535594,False,False,False,False
Faridabad       Faridabad      Anangpur          Anangpur-DW|28.4625|77.26667,Haryana,Faridabad       Faridabad      Anangpur          Anangpur-DW,28.4625,77.2666667,Dug Well,1,19.255477731944133,22.09550316492086,43.51394718793648,42.00478888883166,19.255477731944133,False,False,False,True
Faridabad       Faridabad      Bhopani           Bhopani|28.42917|77.39167,Haryana,Faridabad       Faridabad      Bhopani           Bhopani,28.4291667,77.3916667,unspecified,1,32.01581107876382,34.84594674078987,52.980896889981395,51.48107088364536,32.01581107876382,False,False,False,False
Faridabad       Faridabad      Paota             Paota|28.37278|77.19472,Haryana,Faridabad       Faridabad      Paota             Paota,28.3727778,77.1947222,unspecified,1,19.883313606327423,22.452579254188528,50.59879009779636,49.14279108149904,19.883313606327423,False,False,False,True
Faridabad   Ballabgarh     Kabulpur          Kabulpur|28.39444|77.43889,Haryana,Faridabad   Ballabgarh     Kabulpur          Kabulpur,28.3944444,77.4388889,unspecified,1,37.692032180208265,40.54255721253611,58.83269301435058,57.3381385696536,37.692032180208265,False,False,False,False
