producer,station_id,station_name,agency,district,latitude,longitude,record_start,record_end,observation_count,observations_in_study_period,median_sampling_hours,min_interval_hours,max_routine_interval_hours,largest_gap_hours,study_period_coverage_pct,observed_expected_ratio,months_represented,dist_H001_km,dist_H004_km,dist_H002_km,dist_H003_km,min_dist_km
delhi_sw_gw,delhi_sw_gw:New Delhi Hiranki Hiranki 16000,New Delhi Hiranki Hiranki 16000,Delhi SW GW,NEW DELHI,28.790555,77.462778,2023-03-30 18:00:00,2025-10-12 00:00:00,2909,2880,6.0,0.583,24.0,2682.0,77.73,0.7852,30,47.777,48.971,38.029,37.229,37.229
delhi_sw_gw,delhi_sw_gw:New Delhi Jagatpur Jagatpur RD1450,New Delhi Jagatpur Jagatpur RD1450,Delhi SW GW,NEW DELHI,28.7432,77.7138,2023-03-27 06:00:00,2025-03-12 06:00:00,2343,2343,6.0,0.5,18.0,1932.0,81.81,0.8181,23,66.483,68.362,62.915,62.037,62.037
delhi_sw_gw,delhi_sw_gw:New Delhi Jagatpur Jagatpur RD2800,New Delhi Jagatpur Jagatpur RD2800,Delhi SW GW,NEW DELHI,28.716111,77.83278,2023-08-03 14:17:00,2025-08-17 12:00:00,2257,2257,6.0,0.017,30.0,2118.0,75.75,0.7575,23,76.487,78.551,74.825,73.921,73.921
delhi_sw_gw,delhi_sw_gw:New Delhi Jagatpur Jagatpur RD3750,New Delhi Jagatpur Jagatpur RD3750,Delhi SW GW,NEW DELHI,28.697777,77.665558,2023-03-30 18:00:00,2025-08-22 00:00:00,1895,1895,6.0,6.0,24.0,4374.0,54.13,0.5413,23,60.319,62.304,59.173,58.182,58.182
delhi_sw_gw,delhi_sw_gw:New Delhi Khera Khurd Khera Khurd,New Delhi Khera Khurd Khera Khurd,Delhi SW GW,NEW DELHI,28.78139,77.095556,2022-08-17 18:00:00,2025-01-12 14:45:00,3090,3090,6.0,0.05,12.0,1896.0,87.9,0.879,29,28.965,27.863,4.33,2.819,2.819
delhi_sw_gw,delhi_sw_gw:New Delhi Libaspur Libaspur,New Delhi Libaspur Libaspur,Delhi SW GW,NEW DELHI,28.751926,77.151187,2023-05-25 06:00:00,2025-02-06 12:00:00,1769,1769,6.0,6.0,18.0,1890.0,70.96,0.7096,20,26.547,26.045,10.336,8.912,8.912
delhi_sw_gw,delhi_sw_gw:New Delhi Mundella kalan Mundella kalan,New Delhi Mundella kalan Mundella kalan,Delhi SW GW,NEW DELHI,28.610835,76.894722,2022-08-16 18:00:00,2024-12-09 00:00:00,2933,2933,6.0,6.0,12.0,1890.0,86.75,0.8675,28,20.769,17.903,28.642,28.072,17.903
delhi_sw_gw,delhi_sw_gw:New Delhi Mungeshpur Mungeshpur,New Delhi Mungeshpur Mungeshpur,Delhi SW GW,NEW DELHI,28.516277,77.060958,2022-08-27 18:00:00,2025-10-01 12:00:00,3852,3849,6.0,6.0,18.0,1890.0,85.1,0.8516,38,2.061,1.969,33.261,31.975,1.969
delhi_sw_gw,delhi_sw_gw:New Delhi Nangli Sarkrawati,New Delhi Nangli Sarkrawati,Delhi SW GW,NEW DELHI,28.619167,77.000275,2022-06-19 18:00:00,2025-05-24 12:00:00,3485,3485,6.0,6.0,18.0,1890.0,81.44,0.8144,34,13.464,10.961,22.938,21.936,10.961
delhi_sw_gw,delhi_sw_gw:New Delhi Nizampur Nizampur,New Delhi Nizampur Nizampur,Delhi SW GW,NEW DELHI,28.719166,76.959724,2022-08-17 18:00:00,2023-10-28 00:00:00,1709,1709,6.0,6.0,6.0,54.0,97.94,0.9794,15,25.008,22.679,15.395,15.076,15.076
delhi_sw_gw,delhi_sw_gw:New Delhi Salahpur Salahpur,New Delhi Salahpur Salahpur,Delhi SW GW,NEW DELHI,28.516111,77.060838,2022-08-17 18:00:00,2025-06-15 00:00:00,3497,3497,6.0,2.033,18.0,1878.0,84.69,0.8469,34,2.078,1.984,33.28,31.995,1.984
delhi_sw_gw,delhi_sw_gw:New Delhi Sultanpur Dabas,New Delhi Sultanpur Dabas,Delhi SW GW,NEW DELHI,28.765278,77.038054,2022-08-17 18:00:00,2024-08-01 00:00:00,2798,2798,6.0,6.0,12.0,54.0,97.93,0.9793,25,27.466,25.85,6.538,5.949,5.949
delhi_sw_gw,delhi_sw_gw:Nilothi STP/Lake,Nilothi STP/Lake,Delhi SW GW,WEST,28.3924,77.0251,2022-11-04 17:11:00,2023-05-05 00:00:00,359,359,6.0,0.017,6.0,2257.183,49.51,0.4951,5,15.34,15.945,47.25,46.015,15.34
delhi_sw_gw,delhi_sw_gw:Nizampur-2,Nizampur-2,Delhi SW GW,NORTH WEST,28.714187,76.961263,2023-04-03 12:00:00,2024-05-30 00:00:00,1520,1520,6.0,0.017,6.0,1014.0,89.94,0.8994,14,24.45,22.113,15.68,15.311,15.311
delhi_sw_gw,delhi_sw_gw:Okhla Jal Board,Okhla Jal Board,Delhi SW GW,SOUTH,28.541703,77.265,2023-10-26 00:00:00,2025-07-14 18:00:00,2048,2048,6.0,5.983,18.968,1902.0,81.56,0.8156,20,18.09,20.496,35.691,34.181,18.09
delhi_sw_gw,delhi_sw_gw:Palam_1,Palam_1,Delhi SW GW,SOUTH WEST,28.606234,77.169772,2023-10-25 06:00:00,2025-07-14 00:00:00,2022,2022,6.0,6.0,6.0,1902.0,80.53,0.8053,21,12.809,13.803,25.061,23.561,12.809
delhi_sw_gw,delhi_sw_gw:Punjab Khor,Punjab Khor,Delhi SW GW,NORTH WEST,28.77285,76.959988,2023-03-04 12:57:00,2024-07-31 12:00:00,1971,1971,6.0,1.883,6.0,267.1,95.69,0.9569,17,30.383,28.217,12.022,12.269,12.022
delhi_sw_gw,delhi_sw_gw:Qutab Garh_1,Qutab Garh_1,Delhi SW GW,NORTH WEST,28.804576,76.959129,2023-03-06 14:16:00,2023-05-10 06:00:00,221,221,6.0,0.017,6.0,244.9,85.45,0.8545,3,33.689,31.593,11.206,11.876,11.206
delhi_sw_gw,delhi_sw_gw:Roshanara Lake,Roshanara Lake,Delhi SW GW,NORTH,28.674318,77.198205,2023-10-25 12:00:00,2025-07-14 06:00:00,2003,2003,6.0,0.017,30.0,1878.0,79.77,0.7977,21,20.498,20.982,19.83,18.338,18.338
