index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
79,20220814_20220907,20220814,20220907,24,159.7,1226497,1203807,0.9815,1226497,1.0,0.3703,0.2903,0.4683,6,0.567749,0.994512,0.709457,0.350395
80,20220814_20220919,20220814,20220919,36,-88.1,1226497,1203673,0.981391,1226497,1.0,0.3722,0.2894,0.4866,8,0.545936,0.994635,0.706054,0.373934
81,20220826_20220907,20220826,20220907,12,204.4,1226497,1203661,0.981381,1226497,1.0,0.6038,0.3812,0.6002,1,0.919541,0.997123,0.874047,0.611912
82,20220826_20220919,20220826,20220919,24,-43.4,1226497,1203660,0.98138,1226497,1.0,0.4734,0.314,0.5407,4,0.755173,0.99603,0.790354,0.475527
83,20220826_20221001,20220826,20221001,36,137.5,1226497,1203930,0.9816,1226497,1.0,0.3729,0.2892,0.4825,9,0.547905,0.994285,0.705176,0.371556
84,20220907_20220919,20220907,20220919,12,-247.8,1226497,1203706,0.981418,1226497,1.0,0.5384,0.3556,0.5578,2,0.912689,0.996356,0.853903,0.547315
85,20220907_20221001,20220907,20221001,24,-66.9,1226497,1203803,0.981497,1226497,1.0,0.4084,0.297,0.5118,10,0.601104,0.995008,0.739286,0.418097
86,20220919_20221001,20220919,20221001,12,180.9,1226497,1203791,0.981487,1226497,1.0,0.4619,0.3118,0.528,4,0.727322,0.995099,0.783968,0.462405
87,20220919_20221013,20220919,20221013,24,-4.8,1226497,1203820,0.981511,1226497,1.0,0.4309,0.3009,0.5321,8,0.62638,0.995293,0.752997,0.444178
88,20220919_20221025,20220919,20221025,36,51.4,1226497,1203811,0.981503,1226497,1.0,0.3861,0.2924,0.4957,4,0.586436,0.994645,0.720132,0.392334
89,20221001_20221013,20221001,20221013,12,-185.7,1226497,1203865,0.981547,1226497,1.0,0.6142,0.3879,0.6075,1,0.930846,0.99691,0.876031,0.622455
90,20221001_20221025,20221001,20221025,24,-129.5,1226497,1203781,0.981479,1226497,1.0,0.4681,0.31,0.5399,6,0.70499,0.995559,0.779706,0.472362
91,20221001_20221106,20221001,20221106,36,-192.3,1226497,1203827,0.981516,1226497,1.0,0.3925,0.2933,0.4944,8,0.579574,0.994528,0.72432,0.396245
92,20221013_20221025,20221013,20221025,12,56.2,1226497,1203876,0.981556,1226497,1.0,0.6537,0.3979,0.6294,6,0.915864,0.997256,0.88002,0.64908
93,20221013_20221106,20221013,20221106,24,-6.6,1226497,1203784,0.981481,1226497,1.0,0.532,0.3191,0.575,3,0.745107,0.996196,0.799754,0.523677
94,20221013_20221118,20221013,20221118,36,111.7,1226497,1203869,0.981551,1226497,1.0,0.4069,0.2958,0.5048,7,0.602213,0.99481,0.734679,0.415413
95,20221025_20221106,20221025,20221106,12,-62.8,1226497,1203924,0.981596,1226497,1.0,0.7884,0.5603,0.7202,7,0.97225,0.998292,0.939089,0.797302
96,20221025_20221118,20221025,20221118,24,55.5,1226497,1203768,0.981468,1226497,1.0,0.6288,0.3679,0.6137,2,0.868978,0.996942,0.857786,0.616941
