hotspot_id,date,los_displacement_mm,los_interquartile_halfwidth_mm
H004,20230821,-6.648,5.274
H004,20230902,-21.565,5.439
H004,20230914,5.398,5.371
H004,20230926,-13.198,5.699
H004,20231008,-13.482,5.758
H004,20231020,-28.399,5.943
H004,20231101,-20.753,6.079
H004,20231113,-19.891,5.987
H004,20231125,-21.804,6.036
H004,20231207,-27.613,6.235
H004,20231219,-22.601,6.357
H004,20231231,-21.532,6.38
H004,20240112,-23.254,6.361
H004,20240124,-23.327,6.523
H004,20240205,-23.898,6.545
H004,20240217,-21.557,6.885
H004,20240229,-35.009,6.822
H004,20240312,-22.675,6.974
H004,20240324,-22.329,6.924
H004,20240405,-48.675,6.805
H004,20240417,-20.494,7.016
H004,20240429,-27.249,7.006
H004,20240511,-31.506,6.882
H004,20240523,-38.075,7.161
H004,20240604,-34.766,6.611
H004,20240616,-44.744,7.407
H004,20240710,-50.693,7.31
H004,20240722,-40.432,7.527
H004,20240803,-34.787,7.714
H004,20240815,-50.3,8.244
H004,20240827,-41.995,8.1
H004,20240908,-27.289,7.689
H004,20240920,-28.14,8.278
H004,20241002,-43.956,8.052
H004,20241014,-33.464,8.059
H004,20241026,-36.794,8.202
H004,20241107,-32.189,8.331
H004,20241119,-33.632,8.567
H004,20241213,-41.378,8.678
H004,20241225,-44.695,8.841
H004,20250106,-36.752,8.894
H004,20250118,-50.197,9.156
H004,20250130,-50.094,9.319
H004,20250211,-44.675,9.232
H004,20250223,-41.176,9.484
H004,20250307,-38.894,9.445
H004,20250319,-34.42,9.049
H004,20250331,-49.293,9.426
H004,20250412,-60.038,9.408
H004,20250424,-48.556,9.553
H004,20250506,-56.13,9.673
H004,20250530,-55.079,9.805
H004,20250611,-36.473,9.854
H004,20250623,-50.257,9.065
H004,20250705,-58.193,10.348
H004,20250717,-56.281,10.771
H004,20250729,-55.763,10.513
H004,20250810,-56.506,10.695
H004,20250822,-60.583,10.365
H004,20250903,-55.814,10.528
H004,20250915,-52.323,10.648
H004,20250927,-59.59,11.245
H005,20211006,0.0,-0.0
H005,20211018,0.364,0.906
H005,20211030,-8.514,1.015
H005,20211111,-16.388,1.112
H005,20211123,-16.694,1.104
H005,20211205,-4.567,1.354
H005,20211217,-3.878,1.128
H005,20211229,-2.928,1.125
H005,20220110,-13.817,1.099
H005,20220122,-10.249,1.24
H005,20220203,-13.483,1.158
H005,20220215,-7.922,1.527
H005,20220227,-3.476,1.403
H005,20220311,-19.518,1.525
H005,20220323,-4.076,1.947
H005,20220404,-21.675,1.484
H005,20220416,-19.933,1.589
H005,20220428,-12.173,1.43
H005,20220510,-13.061,1.664
H005,20220522,-20.652,1.792
H005,20220603,-30.058,1.861
H005,20220615,-0.834,3.541
H005,20220627,-23.686,1.941
H005,20220709,-9.569,2.344
H005,20220721,-4.179,3.461
H005,20220802,-4.975,3.061
H005,20220814,-27.018,2.872
H005,20220826,2.927,2.792
H005,20220907,-8.066,2.967
H005,20220919,-24.954,3.033
H005,20221001,-34.975,3.244
H005,20221013,-31.808,2.946
H005,20221025,-16.415,3.106
H005,20221106,-27.753,3.077
H005,20221118,-24.617,3.114
H005,20221130,-17.309,3.239
H005,20221212,-18.324,3.073
H005,20221224,-18.705,3.095
H005,20230105,-19.402,3.245
H005,20230117,-15.947,3.263
H005,20230129,-28.145,3.517
H005,20230210,-31.271,3.185
H005,20230222,-30.569,3.54
H005,20230306,-25.453,3.267
H005,20230318,-20.44,4.126
H005,20230330,-64.866,5.11
H005,20230411,-25.3,5.258
H005,20230423,-58.849,5.699
H005,20230505,-31.059,5.969
H005,20230517,-97.938,5.555
H005,20230529,-38.209,5.768
H005,20230610,-58.266,6.068
H005,20230622,-58.464,6.252
H005,20230704,-13.16,6.41
H005,20230716,24.189,6.378
H005,20230728,-1.693,6.628
H005,20230809,-55.778,6.298
H005,20230821,-41.451,6.655
H005,20230902,-49.997,6.616
H005,20230914,-55.477,6.258
H005,20230926,-76.388,6.345
H005,20231008,-56.926,6.384
H005,20231020,-50.644,6.316
H005,20231101,-58.436,6.409
H005,20231113,-50.896,6.362
H005,20231125,-59.88,6.48
H005,20231207,-53.755,6.262
H005,20231219,-56.164,6.531
H005,20231231,-54.72,6.56
H005,20240112,-47.266,6.354
H005,20240124,-56.402,6.665
H005,20240205,-74.447,6.588
H005,20240217,-55.843,6.586
H005,20240229,-54.48,6.605
H005,20240312,-61.056,6.737
H005,20240324,-34.18,6.503
H005,20240405,-62.979,6.661
H005,20240417,-55.487,6.768
H005,20240429,-48.788,6.53
H005,20240511,-52.347,6.83
H005,20240523,-94.293,7.164
H005,20240604,-43.767,6.898
H005,20240616,-29.855,7.126
H005,20240710,-17.556,7.134
H005,20240722,-45.505,7.108
H005,20240803,-71.072,6.864
H005,20240815,-32.468,7.302
H005,20240827,-44.605,7.593
H005,20240908,-50.912,7.27
H005,20240920,-56.893,7.404
H005,20241002,-10.491,7.483
H005,20241014,-73.991,7.241
H005,20241026,-63.171,6.891
H005,20241107,-71.394,7.126
H005,20241119,-65.885,7.016
H005,20241213,-50.487,6.985
H005,20241225,-55.48,7.212
H005,20250106,-70.361,7.183
H005,20250118,-27.895,7.251
H005,20250130,-65.45,7.151
H005,20250211,-54.536,7.31
H005,20250223,-62.085,7.415
H005,20250307,-78.515,7.32
H005,20250319,-61.331,7.35
H005,20250331,-54.737,7.348
H005,20250412,-46.849,7.447
H005,20250424,-63.428,7.545
H005,20250506,-31.785,7.598
H005,20250530,-24.617,7.688
H005,20250611,-61.833,7.165
H005,20250623,-37.57,7.358
H005,20250705,-63.116,7.436
H005,20250717,-48.921,7.18
H005,20250729,-55.48,7.634
H005,20250810,-69.109,7.617
H005,20250822,-57.789,7.38
H005,20250903,-67.026,7.796
H005,20250915,-58.578,7.418
H005,20250927,-44.538,7.743
